.png,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
日期,World(exc CN),China,Italy,South Korea,Iran,Spain,France,Germany,International,US,Japan,Switzerland,UK,Netherlands,Sweden,Norway,Denmark,Singapore,Belgium,Austria,Malaysia,Australia,Thailand,Bahrain,Canada,Qatar,Kuwait,Greece
color,0xEE1C25,0xFF9A32,0xde8d92,0xdabac1,0x9f6575,0xF9CF02,0x845779,0xde8a91,0xDCD5DD,0x905d7b,0xAE5BAB,0xF1C300,0xF2F2F2,0x8b8673,0x8c6d7c,0x834327,0x0588E6,0xc94232,0x5A6CC4,0xe45857,0xFF9742,0x2e1a7d,0x293072,0x834327,0x0588E6,0xc94232,0x5A6CC4,0xe45857
1月21日,4,278,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
1月22日,4,310,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
1月23日,7,574,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
1月24日,11,835,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0
1月25日,23,1297,0,2,0,0,3,0,0,2,3,0,0,0,0,0,0,3,0,0,0,3,4,0,0,0,0,0
1月26日,29,1985,0,2,0,0,3,0,0,2,3,0,0,0,0,0,0,4,0,0,3,4,5,0,0,0,0,0
1月27日,37,2761,0,4,0,0,3,0,0,5,4,0,0,0,0,0,0,4,0,0,4,4,5,0,1,0,0,0
1月28日,56,4537,0,4,0,0,3,1,0,5,6,0,0,0,0,0,0,7,0,0,4,5,14,0,2,0,0,0
1月29日,68,5997,0,4,0,0,4,4,0,5,7,0,0,0,0,0,0,7,0,0,4,7,14,0,3,0,0,0
1月30日,82,7736,0,4,0,0,5,4,0,5,11,0,0,0,0,0,0,10,0,0,7,7,14,0,3,0,0,0
1月31日,106,9720,2,11,0,0,6,5,0,6,14,0,0,0,0,0,0,13,0,0,8,9,14,0,3,0,0,0
2月1日,132,11821,2,12,0,1,6,7,0,7,17,0,2,0,1,0,0,16,0,0,8,12,19,0,4,0,0,0
2月2日,146,14411,2,15,0,1,6,8,0,8,20,0,2,0,1,0,0,18,0,0,8,12,19,0,4,0,0,0
2月3日,153,17238,2,15,0,1,6,10,0,11,20,0,2,0,1,0,0,18,0,0,8,12,19,0,4,0,0,0
2月4日,159,20471,2,16,0,1,6,12,0,11,20,0,2,0,1,0,0,18,0,0,10,12,19,0,4,0,0,0
2月5日,181,24363,2,18,0,1,6,12,0,11,23,0,2,0,1,0,0,24,1,0,10,13,25,0,5,0,0,0
2月6日,216,28060,2,23,0,1,6,12,20,12,25,0,2,0,1,0,0,28,1,0,12,14,25,0,5,0,0,0
2月7日,270,31211,3,24,0,1,6,13,61,12,25,0,3,0,1,0,0,30,1,0,14,15,25,0,7,0,0,0
2月8日,288,34598,3,24,0,1,6,14,64,12,25,0,3,0,1,0,0,33,1,0,15,15,32,0,7,0,0,0
2月9日,307,37251,3,27,0,1,11,14,64,12,26,0,3,0,1,0,0,40,1,0,17,15,32,0,7,0,0,0
2月10日,319,40235,3,27,0,2,11,14,70,12,26,0,4,0,1,0,0,43,1,0,18,15,32,0,7,0,0,0
2月11日,395,42708,3,28,0,2,11,14,135,13,26,0,8,0,1,0,0,45,1,0,18,15,33,0,7,0,0,0
2月12日,441,44730,3,28,0,2,11,16,175,13,28,0,8,0,1,0,0,47,1,0,18,15,33,0,7,0,0,0
2月13日,447,46550,3,28,0,2,11,16,174,14,29,0,9,0,1,0,0,50,1,0,18,15,33,0,7,0,0,0
2月14日,505,48548,3,28,0,2,11,16,218,15,33,0,9,0,1,0,0,58,1,0,19,15,33,0,7,0,0,0
2月15日,526,50054,3,28,0,2,11,16,218,15,41,0,9,0,1,0,0,67,1,0,21,15,34,0,7,0,0,0
2月16日,683,51174,3,29,0,2,12,16,355,15,53,0,9,0,1,0,0,72,1,0,22,15,34,0,7,0,0,0
2月17日,794,70635,3,30,0,2,12,16,454,15,59,0,9,0,1,0,0,75,1,0,22,15,35,0,7,0,0,0
2月18日,804,72528,3,31,0,2,12,16,454,15,65,0,9,0,1,0,0,77,1,0,22,15,35,0,8,0,0,0
2月19日,924,74280,3,51,0,2,12,16,542,15,73,0,9,0,1,0,0,81,1,0,22,15,35,0,8,0,0,0
2月20日,1073,74675,3,104,2,2,12,16,621,15,85,0,9,0,1,0,0,84,1,0,22,15,35,0,8,0,0,0
2月21日,1200,75569,3,204,5,2,12,16,634,15,93,0,9,0,1,0,0,85,1,0,22,17,35,0,8,0,0,0
2月22日,1402,76392,9,346,18,2,12,16,634,35,105,0,9,0,1,0,0,86,1,0,22,21,35,0,8,0,0,0
2月23日,1769,77042,76,602,28,2,12,16,634,35,132,0,9,0,1,0,0,89,1,0,22,22,35,0,9,0,0,0
2月24日,2069,77262,124,763,43,2,12,16,695,35,144,0,9,0,1,0,0,89,1,0,22,22,35,0,9,0,3,0
2月25日,2459,77780,229,977,61,2,12,16,691,53,157,0,13,0,1,0,0,90,1,0,22,22,37,8,10,0,8,0
